,relax_label,functional,label,relax_work,relaxed,energy,energy_fu,nform,volume,volume_fu,e_vasp_ref,type,natom,e_vasp_pa
114,LFP-1368-7693-4 RELAX U=4.0,pbe,LFP-1368-7693-4,3375fe3e-81b1-491d-ade6-8b0a73f882c9,452027,-95.39427282,-47.69713641,2.0,145.27928743311307,72.63964371655653,0.31306440499999866,AIRSS,14.0,0.044723486428571234
117,LFP-1369-7850-20 RELAX U=4.0,pbe,LFP-1369-7850-20,cedcfdc6-1474-4c84-91ae-7b11e84278b2,457965,-95.73596418,-47.86798209,2.0,178.58521585013298,89.29260792506649,0.14221872499999932,AIRSS,14.0,0.02031696071428562
119,LFP-1369-7850-30 RELAX U=4.0,pbe,LFP-1369-7850-30,f181077d-8602-40a1-a384-8469346fde09,452291,-95.39421511,-47.697107555,2.0,145.35691474256546,72.67845737128273,0.31309325999999515,AIRSS,14.0,0.04472760857142788
120,LFP-1369-7850-41 RELAX U=4.0,pbe,LFP-1369-7850-41,603d345e-3ace-4615-a64a-430d0f773d69,457005,-95.7361825,-47.86809125,2.0,178.5621266999335,89.28106334996674,0.14210956499999838,AIRSS,14.0,0.020301366428571197
122,LFP-15168-2911-33 RELAX U=4.0,pbe,LFP-15168-2911-33,bdf54566-4dc4-4ded-92a7-eb84ad88461a,451806,-95.58573822,-47.79286911,2.0,147.70909529137248,73.85454764568624,0.21733170499999943,AIRSS,14.0,0.03104738642857135
124,LFP-15169-3053-19 RELAX U=4.0,pbe,LFP-15169-3053-19,d7ec8128-64f3-47e7-98b5-8407c8eec19d,451906,-95.83797094,-47.91898547,2.0,146.03167026434735,73.01583513217368,0.09121534499999484,AIRSS,14.0,0.013030763571427835
125,LFP-15169-3053-35 RELAX U=4.0,pbe,LFP-15169-3053-35,72c8ab1c-14ec-4706-96ed-46d744f857e9,451775,-95.58409992,-47.79204996,2.0,147.43409461585892,73.71704730792946,0.21815085499999753,AIRSS,14.0,0.031164407857142504
128,LFP-15169-3053-39 RELAX U=4.0,pbe,LFP-15169-3053-39,f39583f7-135b-48ab-bbad-494ea7fe7845,452813,-95.69842554,-47.84921277,2.0,186.8416321249626,93.4208160624813,0.1609880449999963,AIRSS,14.0,0.022998292142856615
129,LFP-15169-3053-4 RELAX U=4.0,pbe,LFP-15169-3053-4,84971fbd-bd25-4a86-990b-0c749618bca3,451501,-95.58460067,-47.792300335,2.0,147.41590619987062,73.70795309993531,0.2179004799999973,AIRSS,14.0,0.031128639999999614
132,LFP-18498-6358-3 RELAX U=4.0,pbe,LFP-18498-6358-3,080df890-95ae-4421-a826-12f1e70ddfc3,451817,-95.46514851,-47.732574255,2.0,158.70516239973827,79.35258119986914,0.2776265599999945,AIRSS,14.0,0.03966093714285636
